,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK▼,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
57,Memphis,FW,nl Netherlands,28-305,1.es Barcelona,1994,5,3,297,3.3,0.30,0.00,0.30,0.00,0.00,0.30,0.00,0.30,0.00,0.30,0.30,0.30,0.45,0.45,0.15,0.61,0.44,0.16,0.61,0.44,0.61,Matches,8f696594
58,Vinicius Júnior,FW,br Brazil,22-156,1.es Real Madrid,2000,4,4,299,3.3,0.30,0.61,0.30,0.00,0.00,0.00,0.00,0.30,0.60,0.90,0.30,0.90,0.30,0.30,0.21,0.52,0.30,0.20,0.50,0.30,0.50,Matches,7111d552
59,Christian Pulisic,FWMF,us United States,24-088,1.eng Chelsea,1998,4,4,315,3.5,0.29,0.57,0.29,0.00,0.00,0.00,0.00,0.29,0.57,0.86,0.29,0.86,0.31,0.31,0.26,0.57,0.30,0.26,0.56,0.30,0.56,Matches,1bf33a9a
60,Lucas Paquetá,MF,br Brazil,25-110,1.eng West Ham,1997,4,4,314,3.5,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.29,0.29,0.57,0.29,0.57,0.23,0.23,0.43,0.66,0.24,0.43,0.67,0.24,0.67,Matches,9b6f7fd5
61,Boulaye Dia,FW,sn Senegal,26-029,1.it Salernitana,1996,4,4,318,3.5,0.29,0.00,0.29,0.00,0.00,0.29,0.00,0.28,0.00,0.28,0.28,0.28,0.20,0.20,0.00,0.23,0.21,0.01,0.22,0.21,0.22,Matches,244bc2c8
62,Timothy Weah,FW,us United States,22-296,1.fr Lille,2000,4,4,316,3.5,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,0.17,0.17,0.11,0.31,0.18,0.12,0.31,0.18,0.31,Matches,8eec784d
63,Remo Freuler,MF,ch Switzerland,30-244,1.eng Nott'ham Forest,1992,4,4,323,3.6,0.28,0.00,0.28,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,0.14,0.14,0.00,0.14,0.14,0.00,0.14,0.14,0.14,Matches,98d2c2c4
64,João Félix,FW,pt Portugal,23-035,1.es Atlético Madrid,1999,4,4,331,3.7,0.27,0.54,0.27,0.00,0.00,0.27,0.00,0.27,0.54,0.82,0.27,0.82,0.24,0.24,0.11,0.32,0.24,0.10,0.34,0.24,0.34,Matches,8aafd64f
65,Piotr Zieliński,MFFW,pl Poland,28-209,1.it Napoli,1994,4,4,328,3.6,0.28,0.00,0.28,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,0.17,0.17,0.11,0.28,0.16,0.11,0.26,0.16,0.26,Matches,a5296e55
66,Mathew Leckie,MFFW,au Australia,31-314,1.au Melb City,1991,4,4,333,3.7,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.27,0.27,0.54,0.27,0.54,0.03,0.03,0.08,0.14,0.04,0.08,0.12,0.04,0.12,Matches,b93b7882
67,Kim Young-gwon,DF,kr Korea Republic,32-291,1.kr Ulsan Hyundai,1990,4,4,350,3.9,0.26,0.00,0.26,0.00,0.00,0.26,0.00,0.26,0.00,0.26,0.26,0.26,0.21,0.21,0.05,0.23,0.19,0.05,0.24,0.19,0.24,Matches,9459ace1
68,Dani Olmo,FW,es Spain,24-222,1.de RB Leipzig,1998,4,4,367,4.1,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.25,0.25,0.49,0.25,0.49,0.34,0.34,0.12,0.46,0.34,0.11,0.46,0.34,0.46,Matches,ae44e8e2
69,Robert Lewandowski,FW,pl Poland,34-116,1.es Barcelona,1988,4,4,360,4.0,0.50,0.25,0.25,0.25,0.50,0.00,0.00,0.50,0.25,0.75,0.25,0.50,0.72,0.35,0.10,0.45,0.73,0.10,0.83,0.34,0.44,Matches,8d78e732
70,Manuel Akanji,DF,ch Switzerland,27-149,1.eng Manchester City,1995,4,4,360,4.0,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.25,0.00,0.25,0.25,0.25,0.28,0.28,0.03,0.30,0.28,0.03,0.30,0.28,0.30,Matches,89ac64a6
71,Kalidou Koulibaly,DF,sn Senegal,31-178,1.eng Chelsea,1991,4,4,360,4.0,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.25,0.00,0.25,0.25,0.25,0.13,0.13,0.00,0.13,0.12,0.01,0.13,0.12,0.13,Matches,da974c7b
72,Pepe,DF,pt Portugal,39-292,1.pt Porto,1983,4,4,360,4.0,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,0.10,0.10,0.00,0.10,0.11,0.00,0.11,0.11,0.11,Matches,c906ce0f
73,Bruno Fernandes,FWMF,pt Portugal,28-098,1.eng Manchester Utd,1994,4,4,356,4.0,0.50,0.75,0.25,0.25,0.25,0.25,0.00,0.51,0.76,1.26,0.25,1.01,0.28,0.07,0.42,0.50,0.28,0.42,0.71,0.08,0.51,Matches,507c7bdf
