,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK▼,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
277,Nicolás Otamendi,DF,ar Argentina,34-306,1.pt Benfica,1988,6,6,570,6.3,0.00,0.16,0.00,0.00,0.00,0.32,0.00,0.00,0.16,0.16,0.00,0.16,0.00,0.00,0.03,0.03,0.01,0.03,0.03,0.01,0.03,Matches,0d267745
278,Joakim Mæhle,DF,dk Denmark,25-209,1.it Atalanta,1997,3,3,249,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.01,0.03,0.01,0.03,Matches,c459a650
279,Aaron Mooy,MF,au Australia,32-091,1.sct Celtic,1990,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.02,0.03,0.01,0.03,Matches,47b7e3af
280,Aymeric Laporte,DF,es Spain,28-202,1.eng Manchester City,1994,3,3,300,3.3,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.02,0.01,0.02,Matches,119b9a8e
281,Grzegorz Krychowiak,MF,pl Poland,32-320,1.sa Al-Shabab,1990,4,4,332,3.7,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.01,0.05,0.05,0.01,0.05,Matches,580d52dd
282,Filip Kostić,DF,rs Serbia,30-044,1.it Juventus,1992,2,2,179,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.02,0.03,0.01,0.03,Matches,b1cd37e6
283,Jakub Kiwior,DF,pl Poland,22-303,1.it Spezia,2000,4,4,355,3.9,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,dc3e663e
284,Josip Juranović,DF,hr Croatia,27-121,1.sct Celtic,1995,6,6,600,6.7,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,0.00,0.00,0.04,0.06,0.01,0.05,0.06,0.01,0.06,Matches,0a084b35
285,Lee Jae-sung,MFFW,kr Korea Republic,30-127,1.de Mainz 05,1992,3,3,211,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.02,0.03,0.01,0.03,Matches,34b0387f
286,Pierre Højbjerg,MF,dk Denmark,27-132,1.eng Tottenham,1995,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.02,0.01,0.02,Matches,8b04d6c1
287,Hassan Al-Haydos,MF,qa Qatar,32-004,1.qa Al Sadd SC,1990,3,3,206,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.01,0.27,0.27,0.01,0.27,Matches,41bd6c64
288,Abdulaziz Hatem,MF,qa Qatar,32-048,1.qa Al Rayyan SC,1990,3,2,196,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,c5065ef8
289,Ali Gholizadeh,MFFW,ir IR Iran,26-280,1.be Charleroi,1996,3,2,199,2.2,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.00,0.45,0.00,0.00,0.09,0.09,0.01,0.07,0.09,0.01,0.09,Matches,9fc0ac41
290,Przemysław Frankowski,MF,pl Poland,27-247,1.fr Lens,1995,4,3,240,2.7,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.01,0.09,0.11,0.01,0.11,Matches,00a8d210
291,Collins Fai,DF,cm Cameroon,30-124,1.sa Al-Ta'ee,1992,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.02,0.01,0.02,Matches,46e58246
292,Jorge Eduardo Sánchez,DF,mx Mexico,25-005,1.nl Ajax,1997,2,2,175,1.9,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,c8d1c3a5
293,Rúben Dias,DF,pt Portugal,25-215,1.eng Manchester City,1997,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,31c69ef1
294,Abdou Diallo,DF,sn Senegal,26-225,1.de RB Leipzig,1996,4,4,331,3.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.02,0.03,0.01,0.03,Matches,fc62f087
295,Danilo,DF,br Brazil,31-153,1.it Juventus,1991,3,3,281,3.1,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,94b2001f
296,Diogo Dalot,DF,pt Portugal,23-272,1.eng Manchester Utd,1999,3,3,258,2.9,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.70,0.00,0.70,0.00,0.00,0.24,0.28,0.01,0.25,0.26,0.01,0.26,Matches,d9565625
297,Matty Cash,DF,pl Poland,25-130,1.eng Aston Villa,1997,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.01,0.04,0.05,0.01,0.05,Matches,2389cdc2
298,João Cancelo,DF,pt Portugal,28-202,1.eng Manchester City,1994,4,3,310,3.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,bd6351cd
299,Francisco Calvo,DF,cr Costa Rica,30-160,1.tr Konyaspor,1992,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,706bd23f
300,Gareth Bale,FW,wls Wales,33-152,1.us Los Angeles FC,1989,3,3,225,2.5,0.40,0.00,0.00,0.40,0.40,0.40,0.00,0.40,0.00,0.40,0.00,0.00,0.32,0.00,0.08,0.08,0.32,0.08,0.41,0.01,0.09,Matches,a58bb1e1
301,Ethan Ampadu,MFDF,wls Wales,22-092,1.it Spezia,2000,3,3,255,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.01,0.04,0.05,0.01,0.05,Matches,10b9fa99
302,Edson Álvarez,MF,mx Mexico,25-052,1.nl Ajax,1997,2,2,175,1.9,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.01,0.11,0.12,0.01,0.12,Matches,8b3ab7ad
303,Jordi Alba,DF,es Spain,33-269,1.es Barcelona,1989,4,3,264,2.9,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.68,0.00,0.68,0.00,0.00,0.31,0.31,0.01,0.31,0.32,0.01,0.32,Matches,4601e194
304,Tyler Adams,MF,us United States,23-304,1.eng Leeds United,1999,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.13,0.01,0.11,0.12,0.01,0.12,Matches,2b09d998
305,Saud Abdulhamid,DFMF,sa Saudi Arabia,23-150,1.sa Al-Hilal,1999,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.02,0.02,0.01,0.02,Matches,caa254e4
306,Salis Abdul Samed,MF,gh Ghana,22-264,1.fr Lens,2000,3,3,250,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.01,0.02,0.01,0.02,Matches,82464ce3
307,Borna Sosa,DF,hr Croatia,24-328,1.de Stuttgart,1998,5,5,424,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.09,0.09,0.01,0.08,0.09,0.01,0.09,Matches,af0d79a9
308,Mateo Kovačić,MF,hr Croatia,28-223,1.eng Chelsea,1994,6,6,545,6.1,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.16,0.16,0.01,0.16,0.17,0.01,0.17,Matches,79c0821a
309,Maya Yoshida,DF,jp Japan,34-113,1.de Schalke 04,1988,4,4,390,4.3,0.00,0.23,0.00,0.00,0.00,0.23,0.00,0.00,0.23,0.23,0.00,0.23,0.00,0.00,0.09,0.09,0.00,0.09,0.09,0.00,0.09,Matches,caffaf5a
310,Kyle Walker,DF,eng England,32-201,1.eng Manchester City,1990,3,3,236,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,86dd77d1
311,Steven Vitória,DF,ca Canada,35-338,1.pt Chaves,1987,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9bc450e6
312,Miloš Veljković,DF,rs Serbia,27-080,1.de Werder Bremen,1995,3,3,221,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a5ae8f8e
313,Guillermo Varela,DF,uy Uruguay,29-266,1.br Flamengo,1993,3,2,183,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.00,0.05,Matches,5c961282
314,Matt Turner,GK,us United States,28-174,1.eng Arsenal,1994,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4a51ba65
315,Takehiro Tomiyasu,DFMF,jp Japan,24-040,1.eng Arsenal,1998,3,1,187,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.11,0.11,0.00,0.11,Matches,b3af9be1
316,Nouhou Tolo,DF,cm Cameroon,25-175,1.us Seattle,1997,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0796512f
317,Jurriën Timber,DF,nl Netherlands,21-181,1.nl Ajax,2001,4,4,390,4.3,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,41034650
318,Hassan Al Tambakti,DF,sa Saudi Arabia,23-309,1.sa Al-Shabab,1999,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6d78c320
319,Montassar Talbi,DF,tn Tunisia,24-203,1.fr Lorient,1998,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a4a44eb0
320,Sebastian Szymański,MF,pl Poland,23-219,1.nl Feyenoord,1999,2,2,134,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,bb718263
321,Wojciech Szczęsny,GK,pl Poland,32-241,1.it Juventus,1990,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,01b8a2b2
322,Yann Sommer,GK,ch Switzerland,33-363,1.de M'Gladbach,1988,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,420c18a1
323,Unai Simón,GK,es Spain,25-187,1.es Athletic Club,1997,4,4,390,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5dcf3e90
324,Kim Seung-gyu,GK,kr Korea Republic,32-076,1.sa Al-Shabab,1990,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,eabaafa6
325,Kasper Schmeichel,GK,dk Denmark,36-040,1.fr Nice,1986,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,53af52f3
326,Mathew Ryan,GK,au Australia,30-251,1.dk FC Copenhagen,1992,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4535e4bb
327,Kye Rowles,DF,au Australia,24-174,1.sct Hearts,1998,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8caf6772
328,Marten de Roon,MF,nl Netherlands,31-261,1.it Atalanta,1991,5,3,184,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2a1beb34
329,Cristian Romero,DF,ar Argentina,24-232,1.eng Tottenham,1998,6,5,427,4.7,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a3d94a58
330,Ricardo Rodríguez,DF,ch Switzerland,30-112,1.it Torino,1992,4,4,359,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.04,0.04,0.00,0.04,Matches,7f78ad23
331,Joe Rodon,DF,wls Wales,25-054,1.fr Rennes,1997,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8d62d31a
332,Sergio Rochet,GK,uy Uruguay,29-267,1.uy Nacional,1993,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,81b99b9e
333,Antonee Robinson,DF,us United States,25-129,1.eng Fulham,1997,4,4,359,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.07,0.00,0.07,Matches,289601e6
334,Connor Roberts,DF,wls Wales,27-083,2.eng Burnley,1995,3,2,200,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.16,0.16,0.00,0.16,Matches,24fae784
335,Declan Rice,MF,eng England,23-335,1.eng West Ham,1999,5,5,417,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,1c7012b8
336,David Raum,DF,de Germany,24-237,1.de RB Leipzig,1998,3,3,242,2.7,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37,0.00,0.00,0.22,0.22,0.00,0.22,0.22,0.00,0.22,Matches,7d450ed3
337,Baba Rahman,DF,gh Ghana,28-166,2.eng Reading,1994,3,2,183,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,0.15,0.00,0.15,Matches,e4086af3
338,Jordan Pickford,GK,eng England,28-283,1.eng Everton,1994,5,5,450,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4806ec67
339,Pedri,MF,es Spain,20-020,1.es Barcelona,2002,4,4,356,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.22,0.22,0.00,0.22,Matches,0d9b2d31
340,Mohammed Al-Owais,GK,sa Saudi Arabia,31-066,1.sa Al-Hilal,1991,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f2c060c6
341,Bryan Oviedo,DF,cr Costa Rica,32-300,1.us Real Salt Lake,1990,3,3,260,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,31faf295
342,Guillermo Ochoa,GK,mx Mexico,37-155,1.mx América,1985,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1e9bde92
343,Andries Noppert,GK,nl Netherlands,28-252,1.nl Heerenveen,1994,5,5,480,5.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2dc9d6fb
344,Rasmus Nissen,DF,dk Denmark,25-157,1.eng Leeds United,1997,3,3,224,2.5,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,39769cff
345,Manuel Neuer,GK,de Germany,36-263,1.de Bayern Munich,1986,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8778c910
346,Keylor Navas,GK,cr Costa Rica,36-000,1.fr Paris S-G,1986,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ecada4fc
347,Yuto Nagatomo,MFDF,jp Japan,36-094,1.jp FC Tokyo,1986,4,4,209,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.05,0.05,0.00,0.05,Matches,4b6960d2
348,Kim Moonhwan,DF,kr Korea Republic,27-136,1.kr Jeonbuk,1995,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,0.15,0.00,0.15,Matches,6bce7dd8
349,Milad Mohammadi,DF,ir IR Iran,29-077,1.gr AEK Athens,1993,3,3,196,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,740a0e28
350,Kamal Miller,DF,ca Canada,25-213,1.us CF Montréal,1997,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0646bd8a
351,Vanja Milinković-Savić,GK,rs Serbia,25-298,1.it Torino,1997,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9fa26bc2
352,Chris Mepham,DF,wls Wales,25-040,1.eng Bournemouth,1997,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.07,0.00,0.07,Matches,fed96827
353,Edouard Mendy,GK,sn Senegal,30-289,1.eng Chelsea,1992,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,33887998
354,Jhegson Méndez,MF,ec Ecuador,25-233,1.us Los Angeles FC,1997,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.07,0.07,0.00,0.07,Matches,db0c5324
355,Emiliano Martínez,GK,ar Argentina,30-104,1.eng Aston Villa,1992,6,6,570,6.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7956236f
356,Nemanja Maksimović,MF,rs Serbia,27-323,1.es Getafe,1995,3,1,122,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.07,0.00,0.07,Matches,00b28772
357,Assim Madibo,MF,qa Qatar,26-054,1.qa Al Duhail SC,1996,2,2,153,1.7,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,2b1d2ada
358,Hugo Lloris,GK,fr France,35-354,1.eng Tottenham,1986,5,5,450,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f62b6ee
359,Dominik Livaković,GK,hr Croatia,27-340,1.hr Dinamo Zagreb,1995,6,6,600,6.7,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,58f077c0
360,Boualem Khoukhi,DF,qa Qatar,32-159,1.qa Al Sadd SC,1990,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7be5ad52
361,Daniel James,FWMF,wls Wales,25-035,1.eng Fulham,1997,3,2,154,1.7,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,c931d9f9
362,Ismail Jakobs,DF,sn Senegal,23-120,1.fr Monaco,1999,4,3,278,3.1,0.00,0.32,0.00,0.00,0.00,0.32,0.00,0.00,0.32,0.32,0.00,0.32,0.00,0.00,0.10,0.10,0.00,0.10,0.11,0.00,0.11,Matches,a0415710
363,Majid Hosseini,DF,ir IR Iran,26-178,1.tr Kayserispor,1996,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d2161bae
364,Hossein Hosseini,GK,ir IR Iran,30-168,1.ir Esteghlal,1992,2,1,161,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fb24817c
365,Piero Hincapié,DF,ec Ecuador,20-340,1.de Leverkusen,2002,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0c7a48f8
366,Héctor Herrera,MF,mx Mexico,32-240,1.us Houston Dynamo,1990,2,2,160,1.8,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.06,0.00,0.06,Matches,a8542814
367,Wayne Hennessey,GK,wls Wales,35-325,1.eng Nott'ham Forest,1987,2,2,175,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,76eca7e2
368,Shūichi Gonda,GK,jp Japan,33-287,1.jp S-Pulse,1989,4,4,390,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d8e5492f
369,Hernán Galíndez,GK,ec Ecuador,35-260,1.ec SD Aucas,1987,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,89c136f6
370,Devis Epassy,GK,cm Cameroon,29-316,1.sa Abha,1993,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e171b085
371,Óscar Duarte,DF,cr Costa Rica,33-195,1.sa Al-Wehda,1989,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.09,0.09,0.00,0.09,Matches,aa0ac32d
